player,item_id,item_name,rank_in_queue
Pamage,45665,Pharos Gloves,2
Ørly,45665,Pharos Gloves,3
Pyrobifle,45665,Pharos Gloves,4
Skotia,45703,Spark of Hope,1
Nweysa,45869,Fluxing Energy Coils,1
Skotia,45886,Icecore Staff,1
Gosseyn,45931,Mjolnir Runestone,1
Nweysa,45931,Mjolnir Runestone,2
Skotia,45946,Fire Orchid Signet,1
Ninnah,45947,"Serilas, Blood Blade of Invar One-Arm",1
Ninnah,45988,Greaves of the Iron Army,1
Queriss,45988,Greaves of the Iron Army,2
Aelvå,45989,Tempered Mercury Greaves,1
Queriss,46021,Royal Seal of King Llane,1
Ninnah,46021,Royal Seal of King Llane,2
Gosseyn,46032,Drape of the Faceless General,1
Nweysa,46032,Drape of the Faceless General,2
Aelvå,46038,Dark Matter,1
Ninnah,46039,Breastplate of the Timeless,1
Queriss,46039,Breastplate of the Timeless,2
Ørly,46046,Nebula Band,1
Pyrobifle,46046,Nebula Band,2
Pamage,46046,Nebula Band,3
Warloquë,46046,Nebula Band,4
Aelvå,46046,Nebula Band,5
Nweysa,46048,Band of Lights,1
Warloquë,46053,Reply-Code Alpha,1
Skotia,46053,Reply-Code Alpha,2
Iryastra,46053,Reply-Code Alpha,3
Gosseyn,46053,Reply-Code Alpha,4
Nweysa,46053,Reply-Code Alpha,5
Nweysa,46095,Soul-Devouring Cinch,1
Gosseyn,46097,Caress of Insanity,1
Gosseyn,46097,Caress of Insanity,2
Aelvå,46097,Caress of Insanity,3
Gosseyn,40207,Sigil of Awareness,P1
Iryastra,40207,Sigil of Awareness,P1
Skotia,40342,Idol of Awakening,P1
Nweysa,40713,Idol of the Ravenous Beast,P1
Aelvå,42608,Furious Gladiator's Totem of Indomitability,PvP
Gosseyn,42987,Darkmoon Card: Greatness,P1
Iryastra,42987,Darkmoon Card: Greatness,P1
Aelvå,45553,Belt of Dragons,Craft
Nweysa,45564,Footpads of Silence,Craft
Ninnah,45825,Shieldwarder Girdle,Emblems of Conquest
